frame_idx,timestamp,action
0,1771086020.1876192,GRAVITY
1,1771086020.209277,GRAVITY
2,1771086020.6901324,GRAVITY
3,1771086020.6991463,GRAVITY
4,1771086021.1915574,GRAVITY
5,1771086021.1995776,GRAVITY
6,1771086022.128522,GRAVITY
7,1771086022.155915,GRAVITY
8,1771086022.641849,GRAVITY
9,1771086022.6568782,GRAVITY
10,1771086023.831032,GRAVITY
11,1771086023.839941,GRAVITY
12,1771086024.3287125,GRAVITY
13,1771086024.3360925,GRAVITY
14,1771086024.8700528,GRAVITY
15,1771086024.8826146,GRAVITY
16,1771086025.3613722,GRAVITY
17,1771086025.3713286,GRAVITY
18,1771086025.8638728,GRAVITY
19,1771086025.8708787,GRAVITY
20,1771086026.3651676,GRAVITY
21,1771086026.3746994,GRAVITY
22,1771086026.8725157,GRAVITY
23,1771086026.8797698,GRAVITY
24,1771086027.3777583,GRAVITY
25,1771086027.3853717,GRAVITY
26,1771086027.8728094,GRAVITY
27,1771086027.8811314,GRAVITY
28,1771086028.3846753,GRAVITY
29,1771086028.3943484,GRAVITY
30,1771086028.875548,GRAVITY
31,1771086028.882569,GRAVITY
32,1771086029.3798347,GRAVITY
33,1771086029.3889205,GRAVITY
34,1771086029.8813348,GRAVITY
35,1771086029.8888388,GRAVITY
36,1771086030.3879805,GRAVITY
37,1771086030.888611,GRAVITY
38,1771086030.8976388,GRAVITY
39,1771086031.3890018,GRAVITY
40,1771086031.396704,GRAVITY
41,1771086031.8889067,GRAVITY
42,1771086031.8973103,GRAVITY
43,1771086032.4215653,GRAVITY
44,1771086032.4286256,GRAVITY
45,1771086032.9557753,GRAVITY
46,1771086032.9633322,GRAVITY
47,1771086033.4650578,GRAVITY
48,1771086033.4720752,GRAVITY
49,1771086033.95677,GRAVITY
50,1771086033.9641798,GRAVITY
51,1771086034.4639435,GRAVITY
52,1771086034.475951,GRAVITY
53,1771086034.9916728,GRAVITY
54,1771086035.0038462,GRAVITY
55,1771086035.5248296,GRAVITY
56,1771086035.5373554,GRAVITY
57,1771086036.0964253,GRAVITY
58,1771086036.1536415,GRAVITY
59,1771086036.5256834,GRAVITY
60,1771086036.5908291,GRAVITY
61,1771086037.0924585,GRAVITY
62,1771086047.1957655,GRAVITY
63,1771086047.2440624,GRAVITY
64,1771086047.3107948,GRAVITY
65,1771086047.7790017,GRAVITY
66,1771086048.3201427,GRAVITY
67,1771086048.3466973,GRAVITY
68,1771086048.5318258,GRAVITY
69,1771086048.9066515,GRAVITY
70,1771086049.7508354,GRAVITY
71,1771086049.7964268,GRAVITY
72,1771086050.3098543,GRAVITY
73,1771086050.572333,GRAVITY
74,1771086050.785862,GRAVITY
75,1771086050.7948747,GRAVITY
76,1771086051.2873244,GRAVITY
77,1771086051.2958696,GRAVITY
78,1771086051.7890947,GRAVITY
79,1771086051.7981033,GRAVITY
80,1771086052.29185,GRAVITY
81,1771086052.300355,GRAVITY
82,1771086052.793355,GRAVITY
83,1771086052.8019338,GRAVITY
84,1771086053.294079,GRAVITY
85,1771086053.303093,GRAVITY
86,1771086053.795739,GRAVITY
87,1771086053.805757,GRAVITY
88,1771086054.3008044,GRAVITY
89,1771086054.3103096,GRAVITY
90,1771086054.8067648,GRAVITY
91,1771086054.8167753,GRAVITY
92,1771086055.3361325,GRAVITY
93,1771086055.3456748,GRAVITY
94,1771086055.8416395,GRAVITY
95,1771086055.8523695,GRAVITY
96,1771086056.3433883,GRAVITY
97,1771086056.352063,GRAVITY
98,1771086056.8489385,GRAVITY
99,1771086057.348762,GRAVITY
100,1771086057.364328,GRAVITY
101,1771086057.8546445,GRAVITY
102,1771086057.87021,GRAVITY
103,1771086058.3588157,GRAVITY
104,1771086058.369828,GRAVITY
105,1771086058.897371,GRAVITY
106,1771086058.909056,GRAVITY
107,1771086059.401935,GRAVITY
108,1771086059.4149485,GRAVITY
109,1771086059.9016614,GRAVITY
110,1771086059.9127007,GRAVITY
111,1771086060.4015403,GRAVITY
112,1771086060.4162483,GRAVITY
113,1771086060.904215,GRAVITY
114,1771086060.9147253,GRAVITY
115,1771086061.4079273,GRAVITY
116,1771086061.422273,GRAVITY
117,1771086061.9061759,GRAVITY
118,1771086061.9186862,GRAVITY
119,1771086062.4407716,GRAVITY
120,1771086062.4517865,GRAVITY
121,1771086062.9428709,GRAVITY
122,1771086062.9538858,GRAVITY
123,1771086063.4459238,GRAVITY
124,1771086063.9481673,GRAVITY
125,1771086063.9617035,GRAVITY
126,1771086064.4868379,GRAVITY
127,1771086064.5010924,GRAVITY
128,1771086064.9881248,GRAVITY
129,1771086065.0975678,GRAVITY
130,1771086065.520549,GRAVITY
131,1771086065.5300648,GRAVITY
132,1771086066.023713,GRAVITY
133,1771086066.083893,GRAVITY
134,1771086066.4563308,LEFT
135,1771086068.0720565,LEFT
136,1771086068.134807,GRAVITY
137,1771086068.215924,GRAVITY
138,1771086073.1647947,GRAVITY
139,1771086073.1927671,GRAVITY
140,1771086073.6970522,GRAVITY
141,1771086073.711073,GRAVITY
142,1771086074.2237535,GRAVITY
143,1771086074.2338355,GRAVITY
144,1771086074.7277935,GRAVITY
145,1771086074.7368348,GRAVITY
146,1771086075.2280383,GRAVITY
147,1771086075.72691,GRAVITY
148,1771086075.737003,GRAVITY
149,1771086076.2288816,GRAVITY
150,1771086076.2389202,GRAVITY
151,1771086076.7302387,GRAVITY
152,1771086076.7392552,GRAVITY
153,1771086077.2637322,GRAVITY
154,1771086077.2797663,GRAVITY
155,1771086077.7718194,GRAVITY
156,1771086077.7850077,GRAVITY
157,1771086078.2878413,GRAVITY
158,1771086078.300861,GRAVITY
159,1771086078.792601,GRAVITY
160,1771086078.8046138,GRAVITY
161,1771086079.2949016,GRAVITY
162,1771086079.308917,GRAVITY
163,1771086079.8278296,GRAVITY
164,1771086079.8413584,GRAVITY
165,1771086080.3878381,GRAVITY
166,1771086080.8345525,GRAVITY
167,1771086080.8485687,GRAVITY
168,1771086081.3370938,GRAVITY
169,1771086081.3491075,GRAVITY
170,1771086081.8339458,GRAVITY
171,1771086081.8451462,GRAVITY
172,1771086082.3413498,GRAVITY
173,1771086082.3539636,GRAVITY
174,1771086082.8429694,GRAVITY
175,1771086082.8557425,GRAVITY
176,1771086083.3713403,GRAVITY
177,1771086083.3823256,GRAVITY
178,1771086083.8714397,GRAVITY
179,1771086083.883463,GRAVITY
180,1771086084.3741667,GRAVITY
181,1771086084.8781407,GRAVITY
182,1771086084.8906605,GRAVITY
183,1771086085.3792212,GRAVITY
184,1771086085.3902378,GRAVITY
185,1771086085.8870347,GRAVITY
186,1771086085.9020593,GRAVITY
187,1771086086.3888717,GRAVITY
188,1771086086.4018958,GRAVITY
189,1771086086.932082,GRAVITY
190,1771086086.9466078,GRAVITY
191,1771086087.4327803,GRAVITY
192,1771086087.9650862,GRAVITY
193,1771086087.9801064,GRAVITY
194,1771086088.4628577,GRAVITY
195,1771086088.479874,GRAVITY
196,1771086088.9679883,GRAVITY
197,1771086088.9800067,GRAVITY
198,1771086089.3881102,QUIT
199,1771086089.5413299,QUIT
